"Summary","Description","Work Type","Priority","Status","Component","Labels","Labels","Labels"
"A batch job's resume logic skipped a range of records after an interrupted run","CONTEXT
A large migration batch job processes records in ordered chunks, recording a checkpoint after each chunk so an interrupted run can resume rather than restart.

ISSUE OR REQUEST
One interrupted run resumed successfully but skipped roughly 900 records never processed by either the original run or the resume.

EXPECTED BEHAVIOR
A resumed run should process every record not confirmed complete by the last checkpoint, no gap.

ACTUAL BEHAVIOR
The checkpoint recorded the chunk as started rather than completed, and the resume logic treated a started chunk as already done, skipping it.

INVESTIGATION AND FINDINGS
The checkpoint was written at the start of chunk processing rather than after successful completion, a timing choice that worked as long as interruptions stayed rare enough not to be noticed until this run. The gap was found by comparing processed count against expected total.

RESOLUTION
The checkpoint now records completion rather than start, and the 900 skipped records were identified by comparison against source and processed in a follow-up run.

VALIDATION
The follow-up run processed all 900 records successfully, and a deliberately interrupted test run resumed with no gap using the corrected logic.","Bug","High","Done","Checkpoint Resume Gap","tckt-0658","family-data-migration","solution-verified"
"Migrated records lost their locale flag, causing later automation to apply the wrong formatting","CONTEXT
Customer records carry a locale flag that downstream automation uses to format dates and currency correctly in outbound communications.

ISSUE OR REQUEST
Migrated customers received communications formatted in the default locale rather than their own, regardless of their original locale setting.

EXPECTED BEHAVIOR
Every migrated customer should retain their original locale so downstream formatting applies correctly.

ACTUAL BEHAVIOR
The locale field was present in the source data but was not included in the migration's field mapping, leaving it at the target system's default for every migrated record.

INVESTIGATION AND FINDINGS
The locale field was overlooked during mapping design because it was not considered business-critical data at the time, with its downstream formatting impact only surfacing once customer communications went out. All 60,000 migrated customers carried the default locale rather than their own.

RESOLUTION
The locale field was backfilled from the retained source export for all 60,000 customers, and the mapping gap was closed for any future incremental migration from the same source.

VALIDATION
A sample of 300 backfilled records showed correct locale-specific formatting in test communications, and the full backfill was confirmed complete against the source count.","Bug","Medium","Done","Locale Flag Migration Gap","tckt-0659","family-data-migration","solution-verified"
"Only the latest file version carried over, losing prior version history from the source","CONTEXT
Documents with multiple revisions in the legacy system were migrated as Salesforce files, expected to preserve their version history.

ISSUE OR REQUEST
Users reviewing a migrated document's version history see only the single latest version, with earlier revisions missing entirely.

EXPECTED BEHAVIOR
Every prior version of a migrated document should be available in its version history, not just the latest.

ACTUAL BEHAVIOR
The migration extracted and loaded only the current version of each document, since the source export was configured to pull latest versions by default.

INVESTIGATION AND FINDINGS
Version history was assumed out of scope during initial planning because most documents had only one version, but 3,100 documents in the source had two or more revisions that mattered for audit purposes. The earlier versions still exist in a source archive not yet decommissioned.

RESOLUTION
The 3,100 multi-version documents are being re-extracted from the source archive with their full version history and reloaded using the platform's version upload capability.

VALIDATION
A sample of 200 re-loaded documents showed complete version history matching the source archive, with version order and content confirmed correct.","Bug","Medium","Done","File Version History Loss","tckt-0660","family-data-migration","solution-verified"
"Migration for one object stalled at roughly 80 percent due to unexpectedly deep related record volume","CONTEXT
Migrating service agreements includes loading related usage history, estimated during planning based on a sample of typical accounts.

ISSUE OR REQUEST
The migration for this object stalled around 80 percent, with the remaining agreements timing out during load.

EXPECTED BEHAVIOR
All service agreements, regardless of related record volume, should complete migration within the load window.

ACTUAL BEHAVIOR
The remaining 20 percent belong to a small number of long-standing enterprise accounts whose usage history volume is an order of magnitude larger than typical.

INVESTIGATION AND FINDINGS
The original sample used to estimate load time and batch sizing did not include these long-standing accounts, since they were a small fraction of the account count despite carrying a large fraction of the total data volume.

RESOLUTION
A separate, smaller-batch load process is being built for the high-volume accounts, distinct from the standard process used for the completed 80 percent. This is partial: the new process is in testing against one pilot account before wider rollout.

VALIDATION
The pilot account's usage history loaded successfully using the new process within an extended but acceptable window, and remaining accounts are scheduled once stable.","Story","High","In Progress","Related Record Volume Stall","tckt-0661","family-data-migration","solution-partial"
"The planned cutover freeze window is too short for the full data volume, addressed with a phased batch strategy","CONTEXT
The cutover plan allows a single weekend freeze window during which no source changes occur while the final migration batch runs.

ISSUE OR REQUEST
A revised estimate shows the full final batch would not complete within the freeze window, risking an incomplete migration or an extended freeze beyond what the business can tolerate.

EXPECTED BEHAVIOR
The full data volume should migrate within a freeze window the business accepts.

ACTUAL BEHAVIOR
The original freeze window was sized against an earlier, lower estimate that has since grown as more data was profiled.

INVESTIGATION AND FINDINGS
Profiling the full source system rather than a sample revealed roughly 40 percent more volume than estimated, mostly historical records not previously counted. Running the full batch at current speed would exceed the window by several hours.

RESOLUTION
A phased strategy now migrates lower-priority historical data ahead of the freeze window, leaving only current records for the freeze. This is partial: the approach is being rehearsed, one rehearsal done and a second scheduled.

VALIDATION
The first rehearsal completed the freeze-window batch within the allotted time using the phased approach, and a second rehearsal will confirm consistency.","Story","High","In Progress","Cutover Window Capacity Gap","tckt-0662","family-data-migration","solution-partial"
"A required uniqueness constraint conflicts with legacy duplicate data, resolved through a manual dedup queue","CONTEXT
The target object enforces a uniqueness constraint on a customer reference number, unenforced in the legacy system.

ISSUE OR REQUEST
A subset of legacy records share a reference number that should have been unique, and the migration load rejects every record after the first with that number.

EXPECTED BEHAVIOR
All genuine legacy records should migrate, with any true duplicates resolved deliberately rather than silently dropped by a rejected load.

ACTUAL BEHAVIOR
The load simply fails each conflicting record, requiring someone to determine which of the colliding records is genuine before it can load.

INVESTIGATION AND FINDINGS
Legacy data quality issues over many years produced 380 reference numbers each shared by two or more records, with no automatic way to determine which is authoritative without human judgment.

RESOLUTION
Conflicting records now route to a manual dedup queue where a steward assigns a corrected unique reference before the record loads. This is a workaround: it depends on steward throughput, and the queue currently processes roughly 40 records a day.

VALIDATION
The first 200 queued records were resolved and loaded successfully with steward-assigned references, and no data was lost in the process.","Task","Medium","Done","Uniqueness Constraint Legacy Conflict","tckt-0663","family-data-migration","solution-workaround"
"Record counts match after migration but a content hash mismatch appears for an unexplained subset","CONTEXT
Post-migration validation compares a content hash of each migrated record against a hash computed from the source, alongside a record count check.

ISSUE OR REQUEST
Record counts match exactly, but roughly 600 records show a content hash mismatch, meaning some field value differs from source despite the record existing.

EXPECTED BEHAVIOR
Every migrated record's content hash should match its source hash when no legitimate transformation was intended for that field.

ACTUAL BEHAVIOR
Manually comparing several mismatched records field by field against source has not revealed a visible difference in any field checked.

INVESTIGATION AND FINDINGS
The mismatched records share no common object, batch, or load time, and field comparison for ten sampled records found every visible field identical to source, suggesting the difference is in encoding or whitespace not visible on screen.

RESOLUTION
No specific field or cause has been identified, and records have not been altered without knowing what to correct.

VALIDATION
The 600-record mismatch count has remained stable across two reruns. The next step is a byte-level comparison of raw field values for a sampled record, to catch a non-visible difference like encoding or trailing whitespace.","Bug","High","In Progress","Post Migration Content Hash Mismatch","tckt-0664","family-data-migration","solution-unresolved"
"A flow-triggered email alert fires before a validation rule blocks the same save, sending notifications for edits that never actually commit","CONTEXT
A record-triggered flow on the case object sends an email alert to the assigned agent whenever the status field changes, running in a before-save context ahead of a validation rule that can still block the same update.

ISSUE OR REQUEST
Agents receive status-change emails for edits that a validation rule subsequently rejects, so the case's status never actually changes despite the notification.

EXPECTED BEHAVIOR
Notifications should only be sent for updates that successfully save.

ACTUAL BEHAVIOR
The flow evaluates and sends its alert before the validation rule runs, so a rejected save still triggers a misleading email.

INVESTIGATION AND FINDINGS
The alert flow was built to run before the record saves for performance reasons, without accounting for the validation rule on the same field. Review of a week's mail log found forty emails referencing status changes that were never applied.

RESOLUTION
The alert flow was rebuilt to run in an after-save context, so a blocked update can no longer queue a notification.

VALIDATION
Ten edits designed to trigger the validation rule produced zero alert emails, while ten valid edits produced exactly one alert each.","Bug","Medium","Done","Premature Alert Timing","tckt-0665","family-salesforce-flow","solution-verified"
"A flow's fault path retries the same failed DML operation instead of logging and stopping, causing a runaway loop under one error condition","CONTEXT
A record-triggered flow updates a related billing record and includes a fault path meant to log any DML failure for manual follow-up.

ISSUE OR REQUEST
When the billing update fails due to a locked record, the fault path re-attempts the same update instead of logging the failure once.

EXPECTED BEHAVIOR
A failed DML operation should be logged a single time and the flow interview should end.

ACTUAL BEHAVIOR
The fault path called the same subflow that performed the original update, so a lock error repeated the update attempt until the transaction timed out.

INVESTIGATION AND FINDINGS
The fault path had been copied from a retry pattern used elsewhere without removing the update call, turning error handling into an unintended retry loop. Five transactions in one week timed out this way, each generating dozens of failed attempts.

RESOLUTION
The fault path was replaced with a simple log-and-stop action, and the retry logic was moved to a separate scheduled job that waits before reattempting.

VALIDATION
Simulating a locked record produced exactly one log entry and no repeated update attempts across five test runs.","Bug","High","Done","Fault Path Retry Loop","tckt-0666","family-salesforce-flow","solution-verified"
"A record-triggered flow built for a single record type fires for all record types after a UI cleanup removed the record-type filter","CONTEXT
A record-triggered flow on the opportunity object was originally scoped to a single record type through an entry condition, applying a discount validation specific to that business line.

ISSUE OR REQUEST
Opportunities of unrelated record types began receiving the same discount validation after a recent flow edit.

EXPECTED BEHAVIOR
The flow should only evaluate opportunities of the intended record type.

ACTUAL BEHAVIOR
The record-type entry condition was missing, so the flow ran against every opportunity regardless of its record type.

INVESTIGATION AND FINDINGS
A maintenance change intended to simplify the entry conditions had removed the record-type check along with an unrelated condition it was grouped with. Around fifteen opportunities from other business lines were incorrectly blocked from saving before the issue was caught.

RESOLUTION
The record-type condition was restored as its own standalone entry criterion, and the fifteen affected opportunities were manually re-validated and saved.

VALIDATION
Test opportunities across four record types confirmed the discount validation now applies only to the intended one.","Bug","Medium","Done","Record Type Filter Removed","tckt-0667","family-salesforce-flow","solution-verified"
"Two flows triggered on the same object save race to update the same field, and whichever finishes last silently wins","CONTEXT
Two independently built record-triggered flows on the account object both write to the same account-tier field, one based on revenue and one based on support history.

ISSUE OR REQUEST
When both flows fire on the same save, the field's final value depends on unpredictable execution order rather than either flow's intended logic.

EXPECTED BEHAVIOR
The account-tier field should reflect a single, deterministic set of business rules.

ACTUAL BEHAVIOR
Whichever flow happens to execute second overwrites the other's result with no error or indication that a conflict occurred.

INVESTIGATION AND FINDINGS
The platform does not guarantee ordering between separately built flows on the same object and event, and no explicit order had ever been set. A sample of updated accounts showed the tier value alternating between the two flows' outputs on repeated saves.

RESOLUTION
As an interim measure, one flow was given explicit priority ordering so it always evaluates last, while the two logic sets are merged into a single flow.

VALIDATION
Twenty repeated saves after the ordering change consistently produced the higher-priority flow's result, though the underlying merge work remains open.","Bug","High","In Progress","Same-Field Flow Race","tckt-0668","family-salesforce-flow","solution-workaround"
"A flow's screen component saves a null value when a user leaves an optional field untouched, overwriting a value previously set by another process","CONTEXT
A guided screen flow lets agents update a subset of contact fields, including an optional preferred-language field that is often already populated by a prior automated process.

ISSUE OR REQUEST
Submitting the screen without touching the preferred-language field clears it instead of leaving the existing value in place.

EXPECTED BEHAVIOR
A field the agent never interacts with should retain its existing value on submission.

ACTUAL BEHAVIOR
The screen component initialized the field to blank rather than the record's current value, so an untouched field always saved as null.

INVESTIGATION AND FINDINGS
The screen's default value was left unset when the component was built, relying on an assumption that blank inputs would be ignored on save, which is not how the update element behaves. Roughly sixty contacts lost their preferred-language value over two weeks.

RESOLUTION
The screen component's default value was set to the record's current preferred language, and the sixty affected contacts were restored from a backup extract.

VALIDATION
Ten test submissions leaving the field untouched all preserved the original value after the fix.","Bug","Medium","Done","Untouched Field Nulled","tckt-0669","family-salesforce-flow","solution-verified"
"A scheduled flow meant to run hourly is found running twice within the same hour after a maintenance window","CONTEXT
A scheduled flow processes overdue tasks every hour and reassigns them to a follow-up queue based on age.

ISSUE OR REQUEST
Following a recent platform maintenance window, the flow was observed running twice within the same hour on three separate days.

EXPECTED BEHAVIOR
The flow should execute exactly once per scheduled hour.

ACTUAL BEHAVIOR
A second, near-duplicate execution occurred a few minutes after the first, reprocessing the same batch of overdue tasks.

INVESTIGATION AND FINDINGS
The extra runs correlate with maintenance windows, suggesting a scheduling job was re-queued after being interrupted, though the platform's scheduled job history does not show a clear duplicate entry to confirm the mechanism.

RESOLUTION
A record-level flag was added so the second run recognizes tasks already reassigned in the same hour and skips them, preventing duplicate processing while the root scheduling behavior is investigated further.

VALIDATION
The flag prevented reprocessing during two subsequent maintenance windows, though the underlying double-trigger cause has not yet been confirmed with the platform vendor.","Bug","Medium","In Progress","Duplicate Hourly Runs","tckt-0670","family-salesforce-flow","solution-partial"
"A flow calling an invocable Apex action treats a partial success as a full failure and rolls back records that had actually succeeded","CONTEXT
A flow processes a batch of related records through an invocable Apex action that can partially succeed, updating some records while skipping others that fail validation inside the action.

ISSUE OR REQUEST
When the Apex action reports any failures within the batch, the flow rolls back the entire transaction, including records the action had successfully updated.

EXPECTED BEHAVIOR
Records the Apex action successfully processed should be saved even if other records in the same batch failed.

ACTUAL BEHAVIOR
The flow checked only a single aggregate success flag rather than the action's per-record results, treating any failure as total failure.

INVESTIGATION AND FINDINGS
The invocable action's per-record result list was available but unused by the flow's fault-handling logic. Three affected batches lost updates to a combined ninety records that had actually succeeded inside the action.

RESOLUTION
The flow was updated to loop over the action's per-record results and commit only the failed subset for retry, and the ninety lost updates were reapplied.

VALIDATION
A test batch with a deliberate mix of passing and failing records confirmed passing records now save while failures alone are retried.","Bug","High","Done","Partial Success Misread","tckt-0671","family-salesforce-flow","solution-verified"
"A flow's loop over a large collection times out only when the collection crosses a specific size threshold","CONTEXT
A record-triggered flow loops over a collection of related line items to apply a rounding adjustment, normally handling collections of a few hundred records without issue.

ISSUE OR REQUEST
Orders with more than roughly two thousand line items cause the flow interview to exceed its processing time limit and fail.

EXPECTED BEHAVIOR
The flow should complete regardless of the line item count on a given order.

ACTUAL BEHAVIOR
The loop's per-iteration element calls became measurably slower as the collection size grew, compounding into a timeout only past the threshold.

INVESTIGATION AND FINDINGS
Each loop iteration performed a lookup that scaled poorly with collection size, a cost that stayed hidden at typical order sizes and only became visible on the small number of unusually large orders.

RESOLUTION
As a workaround, orders above the threshold are routed to a nightly batch Apex job instead of the real-time flow, while a more scalable loop design is planned.

VALIDATION
Five previously failing large orders completed successfully overnight through the batch job, though the flow itself has not yet been redesigned for these volumes.","Bug","Medium","In Progress","Large Collection Loop Timeout","tckt-0672","family-salesforce-flow","solution-workaround"
"A cloned flow version retained a hardcoded record ID from the sandbox it was built in, causing failures once deployed to production","CONTEXT
A flow was built and tested in a sandbox, where one decision element referenced a specific queue record by its record ID to route escalations.

ISSUE OR REQUEST
After deployment, the flow failed every time it reached the escalation routing step because the referenced ID did not exist in production.

EXPECTED BEHAVIOR
The flow should resolve the escalation queue dynamically rather than through an environment-specific identifier.

ACTUAL BEHAVIOR
The decision element's hardcoded ID caused an unhandled fault whenever a case reached the escalation branch, silently failing the routing step.

INVESTIGATION AND FINDINGS
The queue reference had been selected through a picker that stored the underlying ID rather than a portable reference, a detail missed during deployment review. Eighteen cases failed to escalate before the pattern was noticed.

RESOLUTION
The decision element was rebuilt to look up the queue by its developer name instead of a hardcoded ID, and the eighteen cases were manually escalated.

VALIDATION
A deployment to a second sandbox confirmed the flow resolves the correct queue without any environment-specific reference.","Bug","High","Done","Hardcoded Sandbox Record ID","tckt-0673","family-salesforce-flow","solution-verified"
"A flow triggered from a platform event occasionally processes events out of the order they were published","CONTEXT
A flow subscribes to a platform event stream that publishes inventory adjustments, applying each adjustment in sequence to a running balance field.

ISSUE OR REQUEST
A small number of balance fields have shown values inconsistent with the adjustment history, suggesting events were applied out of publish order.

EXPECTED BEHAVIOR
Adjustments should apply to the running balance in the same order they were published.

ACTUAL BEHAVIOR
For a handful of records, the resulting balance matches a different application order than the platform event log shows as published.

INVESTIGATION AND FINDINGS
The platform event log confirms publish order, but the flow's subscription processing does not currently log the order in which it consumed each event, so no cause for the discrepancy has been established.

RESOLUTION
No root cause has been identified and no fix has been applied; the flow continues to process events without a confirmed ordering guarantee.

VALIDATION
The next diagnostic step is to add sequence-number logging at the point the flow consumes each event, allowing consumption order to be compared directly against publish order for the next occurrence.","Bug","Medium","To Do","Platform Event Ordering","tckt-0674","family-salesforce-flow","solution-unresolved"
"A middleware transformation step drops custom fields it doesn't recognize instead of passing them through unchanged","CONTEXT
A middleware platform maps fields between the CRM and a finance system using a transformation step that processes each field individually before forwarding the record.

ISSUE OR REQUEST
A custom field added to support a new product line never appeared in the finance system despite being populated correctly on the CRM side.

EXPECTED BEHAVIOR
Any field present on the source record, including newly added custom fields, should pass through unless explicitly excluded.

ACTUAL BEHAVIOR
The transformation step silently discarded any field not already present in its static mapping table, with no error raised.

INVESTIGATION AND FINDINGS
The mapping table required a manual entry for every field and had not been updated when the new custom field was created, a gap that produced no warning anywhere in the sync pipeline. Two months of records were missing the field.

RESOLUTION
The mapping table was updated to include the new field, and a nightly check was added that flags any source field absent from the mapping table.

VALIDATION
The two months of missing records were backfilled from the CRM source, and the new mapping check has since flagged one other unrelated gap before it caused data loss.","Bug","High","Done","Unrecognized Field Drop","tckt-0675","family-crm-integration","solution-verified"
"A sync job processes records in parallel threads, and two threads occasionally update the same record with conflicting values","CONTEXT
A nightly sync job was recently changed to process records across multiple parallel threads to reduce total run time for a growing record volume.

ISSUE OR REQUEST
A small number of records each night show a field value that matches neither thread's expected input, suggesting a write conflict between threads.

EXPECTED BEHAVIOR
Each record should only ever be processed by one thread at a time.

ACTUAL BEHAVIOR
Occasionally two threads pick up related records from the same account in the same run, and their updates interleave on a shared parent field.

INVESTIGATION AND FINDINGS
The job's record partitioning does not currently guard against related records landing in different threads, though the exact interleaving mechanism causing the conflicting writes has not been fully isolated.

RESOLUTION
As an interim step, partitioning was changed to group records by account so related records always process on the same thread, reducing but not fully eliminating the conflict window.

VALIDATION
Conflicting writes dropped from roughly a dozen per night to two over the following week, and the remaining cases are still under investigation.","Bug","High","In Progress","Parallel Thread Write Conflict","tckt-0676","family-crm-integration","solution-partial"
"An integration re-authenticates on every single call instead of reusing a session, exhausting the login rate limit during peak hours","CONTEXT
An integration client calls several CRM endpoints throughout the day to keep an external scheduling tool synchronized with case data.

ISSUE OR REQUEST
During peak hours the integration began failing with login rate limit errors, blocking all subsequent sync activity for the rest of the day.

EXPECTED BEHAVIOR
The integration should authenticate once and reuse the resulting session for subsequent calls within its validity window.

ACTUAL BEHAVIOR
The client had been built to request a fresh session token before every single API call rather than caching and reusing one.

INVESTIGATION AND FINDINGS
A code review of the integration client confirmed no session caching logic existed at all, so call volume during busy periods multiplied login attempts well past the platform's allowed rate. The pattern had gone unnoticed at lower volumes.

RESOLUTION
The client was updated to cache its session token and only re-authenticate when the token expires or a call fails with an authorization error.

VALIDATION
Login attempts during a peak-hour test dropped from several hundred to a handful, with no further rate limit errors observed over one week.","Bug","High","Done","Per-Call Re-Authentication","tckt-0677","family-crm-integration","solution-verified"
"A field mapped as a lookup relationship fails silently when the referenced record doesn't exist yet, dropping the relationship instead of erroring","CONTEXT
An integration creates order records that reference an existing account through a lookup field, relying on the account having already synced in an earlier step.

ISSUE OR REQUEST
Some orders arrive with the account lookup left blank even though the corresponding account record exists in the CRM at the time of the order sync.

EXPECTED BEHAVIOR
The integration should either populate the lookup correctly or raise a visible error when it cannot.

ACTUAL BEHAVIOR
When the account lookup resolution briefly failed due to a timing gap, the integration proceeded to create the order with the field left empty instead of retrying or failing loudly.

INVESTIGATION AND FINDINGS
The lookup resolution step used a try-and-continue pattern that swallowed resolution failures rather than surfacing them, a design intended for optional fields but mistakenly applied here. Around thirty orders over a month were affected.

RESOLUTION
The lookup step was changed to retry briefly and then fail the record into an error queue rather than saving it with a blank relationship, and the thirty orphaned orders were manually relinked.

VALIDATION
A simulated timing gap during testing now produces a queued retry and a visible error rather than a silently blank lookup.","Bug","Medium","Done","Silent Lookup Drop","tckt-0678","family-crm-integration","solution-verified"
"A partner's sandbox test data was accidentally synced into the production integration queue after an environment URL was left unchanged","CONTEXT
A partner integration was reconfigured to point at a new sandbox for a joint testing exercise, requiring an endpoint URL change on the partner's side.

ISSUE OR REQUEST
Several dozen clearly fictitious test records appeared in the production sync queue shortly after the partner's testing exercise began.

EXPECTED BEHAVIOR
Sandbox test traffic should never reach the production integration endpoint.

ACTUAL BEHAVIOR
The partner's testing tool had been left pointed at the production endpoint URL from before the reconfiguration, sending real test payloads into live processing.

INVESTIGATION AND FINDINGS
The partner's own configuration change had not been completed on schedule, and no environment check existed on the receiving side to reject obviously mismatched test payloads. All affected records were traced to the same partner session.

RESOLUTION
As an immediate containment step, the affected test records were identified by their partner session identifier and removed from production, and inbound payloads are now checked against an expected environment tag before processing.

VALIDATION
A follow-up test submission using a mismatched environment tag was rejected at the queue boundary rather than reaching production records.","Bug","Highest","In Progress","Sandbox Data In Production Queue","tckt-0679","family-crm-integration","solution-workaround"
"A nightly reconciliation job compares record counts but not field values, so silent data drift goes undetected until a customer complaint","CONTEXT
A nightly reconciliation job compares the number of synchronized records between the CRM and a partner billing system as its sole integrity check.

ISSUE OR REQUEST
A customer reported a billing discrepancy that traced back to a field value that had drifted out of sync weeks earlier without the reconciliation job ever flagging it.

EXPECTED BEHAVIOR
Reconciliation should be able to detect meaningful field-level drift between the two systems, not only missing or extra records.

ACTUAL BEHAVIOR
The job only compares total record counts each night, which stayed matched throughout the period the field value was silently incorrect.

INVESTIGATION AND FINDINGS
No field-level comparison currently exists in the reconciliation pipeline, and it is not yet known how many other records may carry similar undetected drift or what caused this specific value to diverge.

RESOLUTION
No fix has been applied yet; the reconciliation job still performs count-only comparisons while a broader field-level check is scoped.

VALIDATION
The next diagnostic step is to run a one-time full field-level comparison across a sample of high-value records to estimate the scope of undetected drift before designing the ongoing check.","Story","Medium","To Do","Count-Only Reconciliation Gap","tckt-0680","family-crm-integration","solution-unresolved"
"An integration's error queue retries failed records in the original submission order, so one persistently bad record blocks all records behind it","CONTEXT
Failed integration records are placed in an error queue and retried in the same order they originally failed, processed one at a time by a scheduled job.

ISSUE OR REQUEST
A single record with a permanently invalid value was blocking dozens of otherwise valid records from ever being retried behind it.

EXPECTED BEHAVIOR
A persistently failing record should not prevent other queued records from being retried.

ACTUAL BEHAVIOR
The retry job stopped processing the queue entirely on the first failure of each run, leaving every record behind the bad one untouched.

INVESTIGATION AND FINDINGS
The retry job's error handling had been written to halt on the first failure as a safety measure, an approach that worked when failures were rare but created a blocking bottleneck once one record failed persistently. Fifty-four records were stuck behind the one bad record.

RESOLUTION
The retry job was changed to log a failure and continue to the next queued record rather than halting, and the bad record was routed to a manual-review queue.

VALIDATION
A test run with one deliberately invalid record confirmed the remaining fifty-three queued records all processed successfully afterward.","Bug","High","Done","Head-of-Line Retry Blocking","tckt-0681","family-crm-integration","solution-verified"
"A currency field syncs correctly for direct updates but not when the change comes from a workflow-triggered recalculation","CONTEXT
An integration listens for changes to an opportunity's currency amount field and forwards updates to a downstream reporting system in near real time.

ISSUE OR REQUEST
Amount changes made directly by a user sync correctly, but changes produced by an internal workflow recalculation are not reaching the downstream system.

EXPECTED BEHAVIOR
The integration should sync the field change regardless of what process updated it.

ACTUAL BEHAVIOR
Updates from the workflow recalculation do not consistently trigger the same change event the integration listens for.

INVESTIGATION AND FINDINGS
The integration's listener responds to a specific update context that the workflow's recalculation does not always generate, though the precise conditions under which the event is or isn't emitted have not been fully mapped yet.

RESOLUTION
A scheduled reconciliation pass was added to catch amount discrepancies the real-time listener misses, while the underlying event-emission gap is investigated further with the platform vendor.

VALIDATION
The scheduled pass caught and corrected eleven missed updates in its first week, though real-time sync for workflow-triggered changes is not yet reliable.","Bug","Medium","In Progress","Workflow-Triggered Sync Gap","tckt-0682","family-crm-integration","solution-partial"
"A middleware certificate rotation was not coordinated with the partner, causing an unannounced outage in the sync channel","CONTEXT
The middleware platform connecting the CRM to a partner system uses a client certificate for authentication, renewed periodically as part of routine maintenance.

ISSUE OR REQUEST
A scheduled certificate renewal caused the partner's connection to fail for several hours because the partner had not been given the new certificate in advance.

EXPECTED BEHAVIOR
Certificate rotations affecting an external partner connection should be coordinated with the partner before the change takes effect.

ACTUAL BEHAVIOR
The rotation proceeded on its automated schedule without a corresponding notification step to the partner, so their system continued trusting only the old certificate.

INVESTIGATION AND FINDINGS
The rotation process had a notification step for internal consumers but none for external partners, an oversight from when the partner connection was first configured. The channel was down for roughly five hours before the partner reported it.

RESOLUTION
The certificate was reissued with the partner notified in advance, and the rotation process now includes a mandatory partner notification step with a confirmation window before old certificates are retired.

VALIDATION
The next scheduled rotation completed with the partner confirming receipt three days ahead of time and no connection interruption.","Bug","High","Done","Uncoordinated Certificate Rotation","tckt-0683","family-crm-integration","solution-verified"
"A sync mapping references a field by label instead of API name, breaking after a label was translated for a new locale","CONTEXT
An older integration mapping configuration references several CRM fields by their display label rather than their underlying API name.

ISSUE OR REQUEST
After a recent localization project translated a subset of field labels for a new supported language, the integration stopped populating those fields for records in that locale.

EXPECTED BEHAVIOR
The integration should sync fields correctly regardless of which display language a record's users see.

ACTUAL BEHAVIOR
The mapping configuration can no longer find the fields it references because the translated labels no longer match the strings stored in the mapping.

INVESTIGATION AND FINDINGS
It has not yet been determined how many other fields or mappings in the same integration rely on label-based references, or whether other locales are similarly affected.

RESOLUTION
No fix has been applied yet; affected fields remain unsynced for the new locale while the scope of label-based references across the integration is assessed.

VALIDATION
The next diagnostic step is to export the full mapping configuration and cross-check every referenced field name against the API name registry to identify all label-based references before remediation.","Bug","Medium","To Do","Label-Based Mapping Break","tckt-0684","family-crm-integration","solution-unresolved"
"A newly created permission set was cloned from an admin template and granted modify-all-data before anyone reviewed the assignment","CONTEXT
A new permission set was created for a reporting team by cloning an existing administrator template as a starting point, intended to be trimmed down before assignment.

ISSUE OR REQUEST
The permission set was assigned to the reporting team before the modify-all-data privilege inherited from the template was removed.

EXPECTED BEHAVIOR
Cloned permission sets should be reviewed and reduced to only the intended privileges before any assignment.

ACTUAL BEHAVIOR
Six reporting team members had modify-all-data access for approximately two weeks before a routine access review caught the discrepancy.

INVESTIGATION AND FINDINGS
No activity indicating misuse of the excess privilege was found in the audit trail for the affected users during the exposure window. The gap traced back to a missing review step between cloning and assignment.

RESOLUTION
The excess privilege was removed immediately upon discovery, the permission set was rebuilt with only the intended reporting-object access, and a mandatory review checkpoint was added between cloning and assignment for future permission sets.

VALIDATION
The rebuilt permission set was tested to confirm reporting access remains intact with no elevated data-modification privilege, and the review checkpoint has since caught one other over-scoped clone before assignment.","Bug","Highest","Done","Overprivileged Cloned Permission Set","tckt-0685","family-salesforce-security","solution-verified"
"A former contractor's SSO federation was deprovisioned in the identity provider but the corresponding Salesforce user was left active","CONTEXT
Contractor offboarding deprovisions single sign-on federation in the identity provider as its primary step, with the expectation that the corresponding platform user is deactivated in the same process.

ISSUE OR REQUEST
A routine access audit found a contractor's Salesforce user still marked active more than a month after their federation was removed.

EXPECTED BEHAVIOR
Deprovisioning federation should trigger deactivation of the corresponding platform user in the same offboarding step.

ACTUAL BEHAVIOR
The user record remained active, though since federated login was removed the account could no longer actually authenticate through single sign-on.

INVESTIGATION AND FINDINGS
Login history confirmed no successful access occurred after federation was removed, but a direct username-password login path independent of single sign-on remained technically available on the account the entire time.

RESOLUTION
The user was deactivated immediately upon discovery, the direct login path was disabled platform-wide for standard users, and the offboarding checklist was updated to require explicit platform deactivation as its own tracked step.

VALIDATION
A review of all other recently offboarded contractors confirmed no other account had a similar active-but-unfederated state.","Bug","Highest","Done","Orphaned Active User Post-Offboarding","tckt-0686","family-salesforce-security","solution-verified"
